City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,challapata,-18.9,-66.7667,50.14,18,3,4.32,BO,1681950397
310,golfito,8.639,-83.166,77.02,90,82,1.41,CR,1681950397
311,collie,-33.3667,116.15,56.05,54,0,5.32,AU,1681950397
312,progreso,21.2833,-89.6667,89.71,71,2,17.9,MX,1681950172
313,boden,65.8252,21.6886,46.4,100,100,2.8,SE,1681950398
314,natal,-5.795,-35.2094,81.25,89,20,5.75,BR,1681950398
315,camana,-16.6228,-72.7111,70.29,77,61,3.18,PE,1681950398
316,tocopilla,-22.092,-70.1979,67.5,79,25,3.4,CL,1681950399
317,changping,40.2186,116.2197,64.04,19,99,9.95,CN,1681950399
318,toropets,56.4978,31.6353,41.02,71,51,5.59,RU,1681950399
319,mizdah,31.4451,12.9801,69.98,24,43,7.76,LY,1681950399
320,narang mandi,31.9132,74.5176,67.96,81,57,5.12,PK,1681950400
321,holualoa,19.6228,-155.9522,71.78,93,100,31.07,US,1681950400
322,pangoa,-12.1167,-73.0,69.75,99,88,1.45,PE,1681950400
323,sanming,26.2486,117.6186,72.19,91,58,2.1,CN,1681950400
324,portland,45.5234,-122.6762,52.0,72,75,13.8,US,1681950103
325,lichinga,-13.3128,35.2406,64.49,94,40,5.75,MZ,1681950401
326,port moresby,-9.4431,147.1797,85.42,62,20,5.75,PG,1681950401
327,bandar-e genaveh,29.5791,50.517,74.03,51,79,2.71,IR,1681950401
328,saint-joseph,-21.3667,55.6167,74.46,82,26,11.88,RE,1681950401
329,enewetak,11.3474,162.3373,78.26,87,100,22.82,MH,1681950401
330,vrangel',42.7297,133.0839,43.11,98,100,2.8,RU,1681950401
331,tommot,58.9564,126.2925,25.11,90,99,6.26,RU,1681950402
332,garissa,-0.4536,39.6401,78.55,80,78,10.16,KE,1681950402
333,berezovyy,51.6667,135.7,34.11,75,100,9.1,RU,1681950402
334,la spezia,44.1105,9.8434,57.58,80,0,3.6,IT,1681950402
335,mantsala,60.6609,25.2838,38.7,84,77,2.3,FI,1681950402
336,takoradi,4.8845,-1.7554,78.03,85,98,5.61,GH,1681950402
337,extrema,-22.8547,-46.3183,59.16,77,85,5.48,BR,1681950403
338,wang nam yen,13.5033,102.1812,82.17,77,65,6.98,TH,1681950403
339,vilyuysk,63.7553,121.6247,24.6,93,92,4.38,RU,1681950403
340,kijang,35.2442,129.2139,69.53,79,7,5.23,KR,1681950403
341,bel ombre,-4.6167,55.4167,80.44,83,75,4.61,SC,1681950403
342,fendou,46.65,124.8667,42.55,17,64,28.95,CN,1681950404
343,chulym,55.0997,80.9572,24.84,68,81,7.58,RU,1681950404
344,egersund,58.4513,5.9997,48.09,70,2,3.09,NO,1681950404
345,kievka,50.2619,71.5514,25.07,77,8,6.67,KZ,1681950404
346,sao miguel do araguaia,-13.275,-50.1628,73.38,90,98,1.97,BR,1681950404
347,jacobina,-11.1806,-40.5183,74.14,74,68,2.01,BR,1681950404
348,hadjout,36.5126,2.4138,56.01,95,100,2.75,DZ,1681950404
349,sinop,41.7711,34.8709,47.97,97,92,2.68,TR,1681950405
350,san jose de jachal,-30.2406,-68.7469,65.28,25,32,2.28,AR,1681950405
351,quinte west,44.1834,-77.5662,42.33,55,75,8.05,CA,1681950405
352,yorkton,51.2167,-102.4677,26.44,86,100,24.16,CA,1681950374
353,alaghsas,17.0187,8.0168,84.7,14,25,4.29,NE,1681950405
354,bayanaul,50.7889,75.6956,9.59,90,6,2.26,KZ,1681950405
355,tomarza,38.4472,35.7992,53.24,91,48,7.11,TR,1681950405
356,namdrik,5.5994,168.1028,82.44,80,97,13.13,MH,1681950406
357,chui,-33.6971,-53.4616,58.78,67,59,13.09,UY,1681950406
358,debre werk',10.6667,38.1667,60.21,60,88,1.77,ET,1681950406
359,villa de soto,-30.8552,-64.9995,62.4,51,2,11.39,AR,1681950406
360,fortaleza,-3.7227,-38.5247,82.53,83,0,2.3,BR,1681950406
361,lebu,-37.6167,-73.65,54.64,94,78,14.65,CL,1681950406
362,la peca,-5.6111,-78.435,72.34,81,67,4.29,PE,1681950192
363,ola,59.5833,151.2833,32.59,80,98,11.54,RU,1681950406
